6082,5701
79,215
9873,8900
4674,4574
1654,1490
3778,3726
7038,6564
5996,5645
8424,7741
6785,6304
9946,9049
4350,4195
3297,3311
5222,4964
2120,1959
6418,6013
3946,3871
8339,7687
3573,3577
3856,3794
1649,1486
1468,1304
182,312
1022,928
9361,8436
2428,2296
7929,7361
5917,5581
2280,2197
9494,8588
1812,1665
7870,7300
6668,6228
5597,5346
5679,5450
9774,8789
2310,2219
5229,4972
2933,2815
2002,1872
8563,7862
945,890
5114,4887
9952,9058
5837,5522
2200,2065
962,897
407,471
6168,5750
368,443
4745,4609
4840,4694
2159,2015
3184,3151
4319,4164
7925,7358
1900,1775
4646,4515
2460,2349
9666,8737
3578,3580
891,865
4438,4326
3546,3543
9150,8276
5646,5388
681,683
446,511
9112,8237
9298,8394
1120,1007
3432,3458
5230,4982
2505,2403
6908,6437
2288,2201
9962,9066
7086,6624
8370,7704
5968,5619
3926,3859
1949,1824
5463,5193
451,519
4940,4761
9916,8997
7102,6630
8154,7533
6470,6062
6858,6410
1375,1227
6472,6064
3220,3209
4042,3936
2176,2055
2473,2352
2714,2573
826,843
3875,3809
8788,8016
533,588
822,837
5210,4956
904,875
7954,7388
989,920
7154,6695
7108,6666
481,535
5733,5475
9820,8834
7668,7151
8264,7629
4494,4355
8700,7953
2017,1883
2592,2484
7967,7391
5960,5618
1682,1524
5425,5161
5480,5239
4689,4581
5874,5548
6397,5963
876,856
2334,2245
8247,7598
7644,7132
6290,5873
2937,2824
2564,2468
6016,5658
1302,1123
5572,5340
2660,2505
2219,2093
3050,2948
5174,4930
2767,2644
7314,6843
2674,2516
1990,1861
1829,1703
6971,6499
787,814
9460,8553
9652,8732
1550,1423
2038,1891
1617,1472
8312,7661
3914,3842
1875,1735
3088,3019
8985,8128
9440,8543
1193,1030
5913,5573
7725,7190
8751,7977
9257,8350
2950,2830
8796,8043
8648,7912
5505,5247
6512,6107
884,863
2463,2351
8743,7969
7227,6751
9998,9108
9173,8286
7012,6523
1596,1462
5662,5416
4424,4306
372,448
9931,9022
6057,5675
7814,7240
6010,5658
9850,8887
869,854
7481,6943
6384,5958
4254,4118
9075,8228
3671,3632
8596,7881
9220,8327
698,735
4780,4630
3683,3644
8569,7868
6036,5670
1774,1612
4974,4791
2143,1994
4447,4336
7625,7130
1876,1739
2983,2847
7329,6844
4020,3927
9868,8891
1943,1815
1616,1465
7393,6904
3242,3216
3834,3766
4905,4732
2244,2147
7982,7401
6537,6119
1810,1649
9682,8754
1376,1228
5374,5078
1333,1185
1050,956
7923,7350
5053,4857
7234,6766
9328,8421
4038,3931
6027,5669
2451,2341
1838,1705
1405,1259
3034,2933
3067,2978
1591,1458
9051,8211
4068,3951
4997,4815
8945,8115
9599,8694
6329,5897
4667,4565
1242,1057
3635,3626
3795,3748
3595,3606
254,357
28,128
7821,7245
2668,2512
394,467
8317,7668
3079,3004
2954,2831
1888,1759
6334,5911
8782,8010
6887,6423
9942,9025
96,246
3746,3702
5555,5286
4233,4103
7723,7188
9647,8731
5941,5615
2833,2689
9374,8463
4172,4048
2911,2778
9407,8526
782,800
8747,7969
3523,3532
4705,4589
2121,1963
7056,6575
5309,5049
1720,1550
1037,947
4276,4125
2276,2196
6446,6039
90,239
2053,1900
4345,4191
2330,2243
1498,1381
5023,4818
2857,2712
3425,3456
2058,1905
2817,2669
7718,7185
4394,4266
8884,8097
4658,4546
4269,4124
7151,6694
5008,4816
6426,6019
5472,5210
1255,1064
9928,9021
2949,2827
5619,5366
4963,4778
4887,4722
4990,4814
6069,5696
7730,7191
1845,1718
1671,1507
9984,9072
4561,4439
5653,5407
1576,1449
8041,7456
1502,1388
1146,1015
1799,1627
2215,2091
6333,5902
4613,4486
8968,8122
7658,7148
1453,1303
2645,2503
600,613
4238,4107
4151,4033
705,744
1820,1686
3175,3128
576,610
2898,2761
2838,2705
8357,7699
9839,8879
683,705
9287,8368
7027,6557
1244,1058
462,524
2203,2074
8479,7777
6584,6185
540,605
3862,3799
3008,2872
1308,1131
1233,1046
1560,1437
2153,2006
623,619
6233,5839
5478,5229
2925,2787
9225,8344
1098,983
5104,4880
9373,8462
4,105
5184,4937
3285,3300
7530,6993
29,145
3190,3157
7707,7170
3593,3603
9799,8805
312,393
4014,3912
2991,2861
5546,5282
4118,4019
30,146
439,504
5317,5054
3705,3663
8549,7851
6025,5666
6996,6520
2169,2039
9194,8298
5130,4890
1347,1206
1992,1867
4353,4233
9039,8208
1,103
5868,5545
4334,4176
9309,8404
3442,3478
7338,6852
3073,2993
2507,2412
8016,7408
8031,7424
2267,2182
5144,4910
9831,8845
7866,7297
6974,6500
2457,2343
4734,4599
3399,3421
5682,5461
6533,6114
6796,6313
696,733
4034,3930
7591,7087
3064,2969
7662,7148
4814,4670
1505,1393
2561,2461
328,405
9206,8308
7709,7172
3155,3076
3836,3768
5652,5399
4071,3956
7316,6844
1337,1198
3797,3750
4510,4385
783,802
5506,5252
949,891
3463,3481
3586,3591
2860,2728
9023,8193
1777,1620
5294,5036
6874,6420
9543,8627
9022,8190
9695,8761
4189,4062
1858,1730
2204,2078
9880,8927
3160,3084
963,902
2831,2688
4694,4586
3481,3497
2442,2327
7364,6878
5258,5001
4987,4813
1631,1475
5623,5375
4539,4419
9179,8287
8356,7695
1355,1209
5301,5037
3072,2987
892,866
3734,3681
1096,974
3804,3753
2208,2089
5488,5242
4537,4412
3338,3342
4904,4729
7103,6656
7276,6804
1076,964
3760,3708
3379,3404
2076,1920
9316,8417
6907,6429
1109,989
1627,1473
5812,5518
15,117
4385,4259
3077,3000
2905,2771
3755,3706
6249,5857
2837,2695
9492,8587
2735,2582
3865,3800
1695,1534
1825,1687
4343,4182
3310,3315
3854,3789
9571,8657
2750,2601
7019,6549
9636,8716
371,445
9849,8885
7365,6883
635,622
6166,5749
6860,6415
8701,7954
2154,2007
382,458
9288,8370
5663,5423
9034,8207
2506,2404
7587,7086
478,534
3261,3274
5846,5531
7656,7144
1641,1477
5950,5617
8075,7482
6391,5961
9355,8429
6780,6290
5922,5595
4890,4723
7747,7197
2798,2658
6092,5704
3040,2939
6940,6458
5168,4927
